source_id,target_id,type,label,confidence,source
harvard-hfp,oecd,collaborate,Flourishing Schools framework and evidence reviews,high,https://hfh.fas.harvard.edu/impact
harvard-hfp,unesco,collaborate,Flourishing assessments in schools,medium,https://hfh.fas.harvard.edu/impact
omidyar,harvard-hfp,support,Sponsored the HumanConnections.AI salon,medium,https://www.noesiscollaborative.org/
stanford-hai,pai,collaborate,PAI leadership on the AI Index steering committee,high,https://hai.stanford.edu/ai-index/people-of-ai-index
stanford-hai,ai2,collaborate,Ai2 scientist on the AI Index steering committee,high,https://hai.stanford.edu/ai-index/people-of-ai-index
oxford-ethics,deepmind,collaborate,Speaker at the Oxford AI and Ethics Summit 2025,medium,https://afp.oxford-aiethics.ox.ac.uk/oxford-ai-and-ethics-summit-2025-agenda
oxford-ethics,openai,collaborate,Speaker at the Oxford AI and Ethics Summit 2025,medium,https://afp.oxford-aiethics.ox.ac.uk/oxford-ai-and-ethics-summit-2025-agenda
oxford-ethics,5rights,collaborate,Speaker at the Oxford AI and Ethics Summit 2025,medium,https://afp.oxford-aiethics.ox.ac.uk/oxford-ai-and-ethics-summit-2025-agenda
oxford-ethics,pai,collaborate,Speaker at the Oxford AI and Ethics Summit 2025,low,https://afp.oxford-aiethics.ox.ac.uk/oxford-ai-and-ethics-summit-2025-agenda
oxford-ethics,oecd,collaborate,Participant at the Oxford AI and Ethics Summit 2025,low,https://afp.oxford-aiethics.ox.ac.uk/oxford-ai-and-ethics-summit-2025-agenda
chai,cfi,collaborate,Listed partner organization,high,https://humancompatible.ai/about/
knight,bkc,fund,Founding funder of the Ethics and Governance of AI Fund,high,https://knightfoundation.org/press/releases/the-ethics-and-governance-of-artificial-intelligence-fund-commits-7-6-million-to-organizations-that-bolster-civil-society-efforts-around-the-world/
omidyar,bkc,fund,Founding funder of the Ethics and Governance of AI Fund,high,https://knightfoundation.org/press/releases/the-ethics-and-governance-of-artificial-intelligence-fund-commits-7-6-million-to-organizations-that-bolster-civil-society-efforts-around-the-world/
gates,cmu-hcii,fund,Co-funds the National Tutoring Observatory,high,https://hcii.cmu.edu/news/cmu-helps-national-tutoring-observatory-dataset
baylor-isr,gallup,collaborate,Global Flourishing Study data collection partner,high,https://www.cos.io/gfs
baylor-isr,cos,collaborate,Global Flourishing Study open data partner,high,https://www.cos.io/gfs
baylor-isr,gloo,collaborate,Flourishing AI Benchmark built on the Global Flourishing Study framework,medium,https://thenewstack.io/former-intel-ceos-new-ai-benchmark-focuses-on-human-flourishing/
gallup,cos,collaborate,Global Flourishing Study research partner,high,https://www.cos.io/gfs
deepmind,wellcome,collaborate,Multi-year mental health AI research investment,high,https://blog.google/innovation-and-ai/technology/health/new-mental-health-ai-tools-research-treatment/
cht,oxford-ethics,collaborate,Member of the Preserving What Makes Us Human working group,medium,https://centerforhumanetechnology.substack.com/p/announcing-the-preserving-what-makes
mcgovern,ath,fund,Funded the Responsible AI Impact Report,high,https://alltechishuman.org/all-tech-is-human-blog/responsible-ai-impact-report-urgent-risks-emerging-safeguards-and-public-interest-solutions-impacting-society
pai,omidyar,collaborate,Listed partner organization,high,https://partnershiponai.org/partners/
pai,mozilla,collaborate,Listed partner organization,high,https://partnershiponai.org/partners/
pai,bkc,collaborate,Listed partner organization,high,https://partnershiponai.org/partners/
pai,turing,collaborate,Listed partner organization,high,https://partnershiponai.org/partners/
psychtech,chai,collaborate,Co-sponsor of the 2026 Future of Meaning conference,high,https://www.psychoftech.org/conferences
humanity-ai,ai-now,fund,"Inaugural grant, May 2026",high,https://humanityai.ai/humanity-ai-announces-more-than-18-million-in-new-grants-to-shape-ai-for-the-public-good/
humanity-ai,pai,fund,"Inaugural grant, May 2026",high,https://humanityai.ai/humanity-ai-announces-more-than-18-million-in-new-grants-to-shape-ai-for-the-public-good/
humanity-ai,data-society,fund,"AI Civics initiative grant, May 2026",high,https://humanityai.ai/humanity-ai-announces-more-than-18-million-in-new-grants-to-shape-ai-for-the-public-good/
gates,openai,collaborate,Horizon1000 AI health initiative,high,https://www.geekwire.com/2026/gates-foundation-openai-launch-50m-ai-health-initiative-targeting-1000-clinics-in-africa/
gates,anthropic,collaborate,Global health and development partnership,high,https://www.gatesfoundation.org/ideas/media-center/press-releases/2026/05/ai-anthropic-partnership
workday-fdn,anthropic,collaborate,Solopreneurship Accelerator partner,high,"https://newsroom.workday.com/2026-05-12-Workday,-Anthropic,-and-Local-Initiatives-Support-Corporation-LISC-Launch-AI-Focused-Solopreneurship-Accelerator-Program"
mcgovern,current-ai,fund,Core philanthropic partner,high,https://www.currentai.org/about
mcgovern,aspen-digital,fund,Grantee of the foundation,high,https://www.mcgovern.org/2025-press-release/
hopelab,openai,collaborate,Responsible AI for Youth Mental Health convening,medium,https://hopelab.org/stories/responsible-ai-for-youth-mental-health
hopelab,anthropic,collaborate,Responsible AI for Youth Mental Health convening,medium,https://hopelab.org/stories/responsible-ai-for-youth-mental-health
hopelab,deepmind,collaborate,Responsible AI for Youth Mental Health convening,low,https://hopelab.org/stories/responsible-ai-for-youth-mental-health
gatherverse,harvard-hfp,collaborate,AI for Human Flourishing council participation,high,https://gatherverse.org/ai4hf/
human-change,cht,support,Co-signatories of the Pro-Human AI Declaration,low,https://humanstatement.org
digital-thriving,commonsense,collaborate,Joint teen generative-AI report,high,https://www.commonsensemedia.org/research/teen-and-young-adult-perspectives-on-generative-ai-patterns-of-use-excitements-and-concerns
digital-thriving,hopelab,collaborate,Joint teen generative-AI report,high,https://hopelab.org/stories/teen-and-young-adult-perspectives-on-generative-ai
