source_id,target_id,type,label,source
aha,openai,collaborate,Joint RCT on chatbot wellbeing,
aha,cht,collaborate,AHA Symposium dialogue,
aha,bkc,collaborate,Ethics & Governance of AI Initiative,
harvard-hfp,baylor-isr,collaborate,Global Flourishing Study co-leads,
harvard-hfp,gallup,collaborate,GFS data collection,
harvard-hfp,cos,collaborate,GFS open data,
templeton,harvard-hfp,fund,GFS funding,
templeton,baylor-isr,fund,GFS funding,
gloo,harvard-hfp,collaborate,Benchmark uses flourishing dimensions,
oxford-wrc,gallup,collaborate,World Happiness Report data,
oxford-wrc,wwm,collaborate,Incubated the movement,
thrive,openai,collaborate,Thrive AI Health venture,
stanford-hai,oecd,collaborate,Shared AI metrics,
pai,openai,collaborate,Partner network,
pai,deepmind,collaborate,Partner network,
pai,msr,collaborate,Partner network,
msr,openai,collaborate,Strategic partnership,
ath,cht,collaborate,Responsible tech community,
commonsense,anthropic,support,Youth AI Safety Institute support,
commonsense,openai,support,Youth AI Safety Institute support,
commonsense,hopelab,collaborate,Joint youth wellbeing research,
mozilla,humanity-ai,support,Humanity AI founding coalition member,https://www.macfound.org/press/press-releases/humanity-ai-commits-500-million-to-build-a-people-centered-future-for-ai
ford,humanity-ai,support,Humanity AI founding coalition member,https://www.macfound.org/press/press-releases/humanity-ai-commits-500-million-to-build-a-people-centered-future-for-ai
macarthur,humanity-ai,support,Humanity AI founding coalition member,https://www.macfound.org/press/press-releases/humanity-ai-commits-500-million-to-build-a-people-centered-future-for-ai
omidyar,humanity-ai,support,Humanity AI founding coalition member,https://www.macfound.org/press/press-releases/humanity-ai-commits-500-million-to-build-a-people-centered-future-for-ai
wellcome,gates,collaborate,Joint AI health evaluations,
commonsense,humane-intel,collaborate,Youth AI safety evaluation partner,
noesis,harvard-hfp,collaborate,Social AI white paper,
current-ai,ford,collaborate,Founding partner,
current-ai,macarthur,collaborate,Founding partner,
current-ai,deepmind,collaborate,Founding partner,
aha,psychtech,collaborate,Open Benchmark for the Human Impact of AI,
aha,anthropic,collaborate,Research collaboration,
aha,commonsense,collaborate,Youth & AI collaboration,
omidyar,aha,fund,Program support,
turing,ada,collaborate,UK AI research ecosystem,
ai-now,data-society,collaborate,NYC critical AI research,
mozilla,cht,collaborate,Humane & trustworthy tech,
stanford-hai,gallup,collaborate,AI Index survey data,
noesis,psychtech,collaborate,Flourishing research network,
current-ai,mozilla,collaborate,Public-interest AI,
unesco,oecd,collaborate,Global AI governance,
wef,pai,collaborate,Multistakeholder governance,
harvard-hfp,oecd,collaborate,Flourishing Schools framework and evidence reviews,https://hfh.fas.harvard.edu/impact
stanford-hai,pai,collaborate,PAI leadership on the AI Index steering committee,https://hai.stanford.edu/ai-index/people-of-ai-index
stanford-hai,ai2,collaborate,Ai2 scientist on the AI Index steering committee,https://hai.stanford.edu/ai-index/people-of-ai-index
chai,cfi,collaborate,Listed partner organization,https://humancompatible.ai/about/
knight,bkc,fund,Founding funder of the Ethics and Governance of AI Fund,https://knightfoundation.org/press/releases/the-ethics-and-governance-of-artificial-intelligence-fund-commits-7-6-million-to-organizations-that-bolster-civil-society-efforts-around-the-world/
omidyar,bkc,fund,Founding funder of the Ethics and Governance of AI Fund,https://knightfoundation.org/press/releases/the-ethics-and-governance-of-artificial-intelligence-fund-commits-7-6-million-to-organizations-that-bolster-civil-society-efforts-around-the-world/
gates,cmu-hcii,fund,Co-funds the National Tutoring Observatory,https://hcii.cmu.edu/news/cmu-helps-national-tutoring-observatory-dataset
baylor-isr,gallup,collaborate,Global Flourishing Study data collection partner,https://www.cos.io/gfs
baylor-isr,cos,collaborate,Global Flourishing Study open data partner,https://www.cos.io/gfs
gallup,cos,collaborate,Global Flourishing Study research partner,https://www.cos.io/gfs
