id,name,roles,location,url,description,people,tags,keywords,areas
aha,MIT Media Lab — AHA Program,hub|academic|measure|community,"Cambridge, MA, USA",https://aha.media.mit.edu,"Advancing Humans with AI (AHA) is a multi-faculty research program at the MIT Media Lab studying how pervasive AI shapes the human experience — and how to design human-AI interaction that fosters flourishing rather than dependence. Launched in April 2025, AHA convenes academia, industry, and civil society around moonshot research on the psychological, social, and cognitive impact of AI.",pattie-maes|pat-pataranutaporn|hiroshi-ishii|valdemar-danry|samantha-chan|constanze-albrecht|auren-liu|chayapatr-archiwaranguprok|mengying-fang|jennifer-pfister,Human-AI Interaction|Flourishing|Cyborg Psychology,wellbeing|benchmarks|agency|human experience of AI,agency|wellbeing|social
harvard-hfp,Human Flourishing Program · Harvard,academic,"Cambridge, MA, USA",https://hfh.fas.harvard.edu,"Founded in 2016 at Harvard’s Institute for Quantitative Social Science, the program studies flourishing as ""a state in which all aspects of a person’s life are good"" — and now runs a working group applying flourishing science to AI product decisions.",tyler-vanderweele|brendan-case,flourishing science|wellbeing measurement,happiness|meaning|virtue|relationships,purpose|wellbeing|social
stanford-hai,Stanford HAI,academic,"Stanford, CA, USA",https://hai.stanford.edu,"The Stanford Institute for Human-Centered AI advances AI research, education, and policy to improve the human condition — with the belief that AI should be collaborative, augmentative, and enhancing to human life.",fei-fei-li|james-landay|john-etchemendy,human-centered AI|policy|education,augmentation|societal impact,agency|learning
oxford-wrc,Wellbeing Research Centre · Oxford,academic,"Oxford, UK",https://wellbeing.hmc.ox.ac.uk,"Oxford’s centre for the science of wellbeing, studying how life circumstances — including technology — shape happiness at population scale.",jan-emmanuel-de-neve,wellbeing economics|happiness,life satisfaction|workplace wellbeing,wellbeing|purpose
oii,Oxford Internet Institute,academic,"Oxford, UK",https://www.oii.ox.ac.uk,Oxford’s multidisciplinary department for the study of life online — home to some of the most rigorous large-scale evidence on how digital technology and games actually affect wellbeing.,andrew-przybylski|victoria-nash,internet studies|evidence,screen time|adolescents|open data,wellbeing|learning
oxford-ethics,Institute for Ethics in AI · Oxford,academic,"Oxford, UK",https://www.oxford-aiethics.ox.ac.uk,"Brings philosophy to the heart of AI ethics — examining what AI means for human values, democracy, and the good life.",john-tasioulas,philosophy|ethics,values|democracy|humanities,agency|purpose
cfi,Leverhulme Centre for the Future of Intelligence,academic,"Cambridge, UK",https://www.lcfi.ac.uk,Cambridge’s interdisciplinary centre on the nature and impact of AI — working to ensure intelligent machines serve human values and society.,stephen-cave,interdisciplinary|AI futures,narratives|trust|philosophy,agency|learning
chai,Center for Human-Compatible AI · Berkeley,academic,"Berkeley, CA, USA",https://humancompatible.ai,UC Berkeley center reorienting AI research toward provably beneficial systems that remain uncertain about — and deferential to — human preferences.,stuart-russell,alignment|beneficial AI,assistance games|preferences,agency
bkc,Berkman Klein Center · Harvard,academic,"Cambridge, MA, USA",https://cyber.harvard.edu,"Harvard’s center for internet and society, studying AI governance, human agency, and the public interest in networked technology.",jonathan-zittrain,internet & society|governance,law|agency|public interest,agency|learning
citp,Princeton CITP,academic,"Princeton, NJ, USA",https://citp.princeton.edu,"Princeton’s Center for Information Technology Policy — rigorous, skeptical scholarship on what AI can and cannot do, and what that means for society.",arvind-narayanan,tech policy|evidence,accountability|hype vs. reality,agency|learning
yale-dec,Digital Ethics Center · Yale,academic,"New Haven, CT, USA",https://dec.yale.edu,Studies the governance of digital innovation so that AI and data technologies serve human dignity and flourishing.,luciano-floridi,digital ethics|governance,information philosophy|dignity,agency|purpose
upenn-ppc,Positive Psychology Center · UPenn,academic,"Philadelphia, PA, USA",https://ppc.sas.upenn.edu,The birthplace of positive psychology — the science of what makes life worth living — now extending flourishing research into the age of AI.,martin-seligman,positive psychology|PERMA,flourishing|character strengths,purpose|wellbeing
cmu-hcii,CMU Human-Computer Interaction Institute,academic,"Pittsburgh, PA, USA",https://www.hcii.cmu.edu,"One of the world’s leading HCI departments, designing AI systems that augment human capability, learning, and health.",,HCI|augmentation,learning science|interaction design,learning|agency
turing,The Alan Turing Institute,academic,"London, UK",https://www.turing.ac.uk,"The UK’s national institute for data science and AI, directing research capacity toward public-good applications in health, environment, and society.",,national institute|public good,data science|responsible AI,wellbeing|agency
uva-csc,Contemplative Sciences Center · UVA,academic,"Charlottesville, VA, USA",https://csc.virginia.edu,"The University of Virginia’s hub for contemplative research, convening an interdisciplinary group on AI-driven interventions for wellbeing and spirituality.",david-germano,contemplative science|spirituality,mindfulness|interventions,purpose|wellbeing
baylor-isr,Baylor Institute for Studies of Religion,academic,"Waco, TX, USA",https://www.baylorisr.org,"Co-leads the Global Flourishing Study, bringing expertise on religion, character, and meaning to the empirical study of flourishing.",byron-johnson,religion|character,meaning|purpose,purpose|social
anthropic,Anthropic · Societal Impacts,industry,"San Francisco, CA, USA",https://www.anthropic.com/research/team/societal-impacts,"Anthropic’s technical research team studying how AI is actually used in the world — including large-scale analyses of values and emotional reliance in human-AI conversations, feeding directly into model safeguards.",deep-ganguli,societal impact|AI safety|values,Clio|affective use|safeguards,agency|wellbeing
openai,OpenAI,industry,"San Francisco, CA, USA",https://openai.com,"Builder of ChatGPT, increasingly investing in research on the emotional and social effects of conversational AI — including a joint randomized study with the MIT Media Lab on affective use and wellbeing.",,frontier AI|wellbeing research,ChatGPT|affective computing,wellbeing|social|agency
deepmind,Google DeepMind,industry,"London, UK",https://deepmind.google,Frontier lab whose ethics research examines what advanced AI assistants owe their users — including a landmark treatise on the ethics of AI assistants and human autonomy.,iason-gabriel,ethics research|AI assistants,autonomy|alignment,agency|social
msr,Microsoft Research,industry,"Redmond, WA, USA",https://www.microsoft.com/en-us/research,"Studies how generative AI reshapes cognition and work — including influential research on AI’s effect on critical thinking and ""tools for thought.""",lev-tankelevitch|sean-rintel,cognition|future of work,critical thinking|productivity,agency|learning
jigsaw,Google Jigsaw,industry,"New York, NY, USA",https://jigsaw.google.com,A unit within Google that builds technology to counter threats to open societies — from toxicity and harassment online to polarization — so digital spaces stay healthy for people.,yasmin-green,online safety|healthy discourse,toxicity|polarization|civility,social|agency
ai2,Allen Institute for AI (Ai2),industry,"Seattle, WA, USA",https://allenai.org,"A nonprofit AI lab building truly open models and applying AI to science, conservation, and the common good.",,nonprofit lab|open models,openness|AI for good,learning|agency
cht,Center for Humane Technology,civil,"San Francisco, CA, USA",https://www.humanetech.com,"The advocacy nonprofit behind The Social Dilemma, working to realign technology — now AI — with humanity’s interests, warning against systems that exploit human vulnerabilities under the guise of assistance.",tristan-harris|aza-raskin|randima-fernando,advocacy|attention economy,persuasive tech|incentives,agency|wellbeing|social
ath,All Tech Is Human,civil,"New York, NY, USA",https://alltechishuman.org,"Builds and unites the Responsible Tech ecosystem — mapping organizations, mentoring talent, and connecting people who want technology aligned with the public interest.",david-ryan-polgar,responsible tech|talent,ecosystem building|careers,purpose|social
pai,Partnership on AI,civil,"San Francisco, CA, USA",https://partnershiponai.org,"A multistakeholder nonprofit uniting industry, civil society, and academia to develop shared norms for AI that benefits people and society.",rebecca-finlay,multistakeholder|norms,shared prosperity|guidelines,agency|social
psychtech,Psychology of Technology Institute,civil,"Los Angeles / Berkeley, CA, USA",https://www.psychoftech.org,"A nonprofit network of hundreds of behavioral scientists — psychologists, sociologists, philosophers, and computer scientists — advancing the science of the human-technology relationship so AI can be designed for psychological health.",nathanael-fast|juliana-schroeder,behavioral science|psychology,tech and mind|research network,wellbeing|agency|social
