id,org_id,name,description,tags,areas,collab,url,confidence,source
hfp-flourishing-schools,harvard-hfp,Flourishing Schools Project,"A research-backed framework and survey for assessing student wellbeing, character and academic attainment in schools, moving beyond test scores.",education|measurement,wellbeing|learning|purpose,,https://hfh.fas.harvard.edu/flourishingschools,high,https://hfh.fas.harvard.edu/post/flourishing-schools
hfp-ai-flourishing-init,harvard-hfp,AI and Flourishing Initiative,"Initiative examining how AI and emerging technologies shape personal and communal flourishing; convenes social scientists, philosophers, policy leaders and technology builders.",framework|convening,agency|purpose|social,,https://hfh.fas.harvard.edu/post/ai-and-flourishing-initiative,medium,https://hfh.fas.harvard.edu/impact
oii-ai-work,oii,Research Programme on AI & Work,"Examines how AI affects employment, automation, algorithmic management and inequality across sectors. Runs Oct 2021 to Oct 2026.",future of work|economics,agency|purpose,,https://www.oii.ox.ac.uk/research/projects/research-programme-on-ai-work/,high,https://www.oii.ox.ac.uk/research/projects/research-programme-on-ai-work/
oii-ai-gov-policy,oii,"Research Programme on AI, Government and Policy","Investigates AI impact on public policy, including governance and accountability of AI systems and effects on misinformation and discrimination.",policy|governance,agency,,https://www.oii.ox.ac.uk/research/projects/research-programme-on-ai-government-and-policy/,high,https://www.oii.ox.ac.uk/research/projects/research-programme-on-ai-government-and-policy/
oii-fairwork-ai,oii,Fairwork for AI,Completed project (2021 to 2024) developing enforceable fairness standards and accountability mechanisms for AI use in workplaces.,workplace|standards,agency|purpose,,https://www.oii.ox.ac.uk/research/projects/fairwork-for-ai/,medium,https://www.oii.ox.ac.uk/research/projects/fairwork-for-ai/
cfi-digital-wellbeing-obs,cfi,Digital Wellbeing Observatory,"Five-year initiative tracking how the UK public uses technologies including generative AI, and their effects on health and wellbeing.",longitudinal|wellbeing,wellbeing|agency,,,high,https://www.philanthropy.cam.ac.uk/impact-of-giving/gift-announcements/virgin-media-o2-supports-new-digital-wellbeing-research
cfi-digital-minds,cfi,Cambridge Digital Minds,"Studies the societal, ethical and governance implications of AI and digital minds, including public perception of AI moral status.",ethics|governance,agency,,https://www.ith.cam.ac.uk/news/cambridge-digital-minds,high,https://www.ith.cam.ac.uk/news/cambridge-digital-minds
princeton-ai-dialogues,citp,Princeton AI Dialogues,Recurring Congressional and federal-policymaker briefings; December 2025 briefings covered AI companions and risks to mental health and online safety.,policy briefings|public education,agency|social|wellbeing,,https://spia.princeton.edu/commitments-priorities/princeton-spia-dc-center/princeton-ai-dialogues,high,https://citp.princeton.edu/posts/2026/companion-chatbots-102725
citp-ai-policy-precepts,citp,AI Policy Precepts,Convenes roughly 25 federal policymakers for closed-door sessions on core AI concepts and risks.,policy education,agency,,https://citp.princeton.edu/programs/citp-tech-policy-clinic/princeton-university-ai-policy-precepts,high,https://citp.princeton.edu/events/2025/ai-policy-precepts-part-i
yale-dec-state-ai-summits,yale-dec,State AI Policy Summits,"Multi-day summits helping US state legislators craft AI regulation covering deepfakes, algorithmic bias, privacy and election misinformation.",policy|state government,agency,,,high,https://news.yale.edu/2025/05/07/yales-digital-ethics-center-helps-us-states-navigate-promise-and-perils-ai
decs,yale-dec,Digital Ethics Center Symposium,"Symposium on the governance, ethical, legal and social implications of digital technologies including AI.",convening|ethics,agency,,https://dec.yale.edu/programs/digital-ethics-center-symposium-decs,medium,https://dec.yale.edu/programs/digital-ethics-center-symposium-decs
national-tutoring-observatory,cmu-hcii,National Tutoring Observatory,Multi-institution initiative building an open-access dataset of tutoring video and transcripts.,education|open data,learning,,,high,https://hcii.cmu.edu/news/cmu-helps-national-tutoring-observatory-dataset
cmu-mobile-ai-tutoring-math,cmu-hcii,AI-Based Mobile Tutoring for Middle-School Mathematics,Grant-funded work developing and testing a smartphone-based AI tutoring system for middle-school mathematics.,education|tutoring,learning,,,high,https://www.hcii.cmu.edu/news/hcii-researchers-awarded-2m-grant-test-ai-based-mobile-tutoring-software
turing-precision-mental-health,turing,AI for Precision Mental Health,"Machine-learning project to improve precision mental-health clinical practice, predicting risk for dementia, anxiety and depression across the lifespan.",mental health|clinical,wellbeing,,https://www.turing.ac.uk/research/research-projects/ai-precision-mental-health,high,https://www.turing.ac.uk/research/research-projects/ai-precision-mental-health
turing-oxford-psychiatry,turing,Turing-Oxford Psychiatry Mood Disorder Research,Joint initiative applying machine learning and NLP to mood-disorder assessment.,mental health|NLP,wellbeing,,,high,https://www.psych.ox.ac.uk/news/turing-and-oxford-psychiatry-join-forces-on-machine-learning-and-mood-disorder-research
baylor-global-flourishing-institute,baylor-isr,Institute for Global Human Flourishing,Umbrella institute launched April 2025 positioning Baylor as a global hub for faith and flourishing research.,flourishing|institute,purpose|wellbeing,,,medium,https://news.web.baylor.edu/news/story/2025/baylor-university-launches-institute-global-human-flourishing
allfaith-benchmark,baylor-isr,AllFaith Benchmark,Four-university consortium multi-faith LLM test set evaluating 14 major models for religious bias.,benchmark|religion,agency|purpose,,,high,https://news.web.baylor.edu/news/story/2026/baylor-joins-multi-university-consortium-launch-first-cross-faith-ai-benchmark
claude-constitution,anthropic,Claude’s Constitution,"Public document defining Claude operating principles, directing it to weigh users long-term wellbeing rather than only immediate helpfulness.",model policy|values,agency|wellbeing,,https://www.anthropic.com/constitution,medium,https://www.anthropic.com/constitution
people-first-ai-fund,openai,People-First AI Fund,"Foundation initiative funding US nonprofits using AI for education, health, community resilience and economic opportunity.",grants|philanthropy,purpose|wellbeing|learning|social,,https://openai.com,high,https://www.insidephilanthropy.com/home/a-look-under-the-hood-of-the-openai-foundations-people-first-ai-fund
